"plugin_id","plugin_path","primary_theme","confidence","best_deliverable","files_to_touch","tests_to_update","verification_commands"
"dotnet-reactor","src/plugins/dotnet-reactor","metadata-search-profile","0.87","为 `dotnet-reactor` 做 metadata-first 深化：4 个 `reactor.*` tool 各自声明精确 aspects、artifacts、evidence、workflowRecipes 和内置 Python `workerBackend`；修正 surfaceRules 的 fileTypes/findings aliases，并把动态/写 workspace 语义标清为 opt-in 或 mutation-aware。","src/plugins/dotnet-reactor/index.ts; src/plugins/dotnet-reactor/tools/anti-tamper.ts; src/plugins/dotnet-reactor/tools/string-decrypt.ts; src/plugins/dotnet-reactor/tools/dynamic-methods.ts; src/plugins/dotnet-reactor/tools/resource-export.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/workflow-search.test.ts; tests/unit/tool-readiness.test.ts; docs/tool-catalog.html","在 `tests/unit/plugin-format-matrix.test.ts` 中断言 `dotnet-reactor` tool metadata、artifact/evidence declarations、workflow recipe id 和 workerBackend 进入 aspect matrix。; 在 `tests/unit/workflow-search.test.ts` 中增加 query/file_type 场景：`.NET Reactor encrypted strings`、`anti tamper cctor`、`DynamicMethod` 能排名到 `dotnet-reactor` 或对应 `reactor.*` tool。; 在 `tests/unit/tool-readiness.test.ts` 中增加 workerBackend readiness 断言：readiness passive、不启动 backend、展示 `dnfile`/Python worker 策略。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts tests/unit/tool-readiness.test.ts tests/unit/tools-discover.test.ts; npx tsc --noEmit --pretty false; npm run docs:tool-catalog; git diff --check -- src/plugins/dotnet-reactor/index.ts src/plugins/dotnet-reactor/tools/anti-tamper.ts src/plugins/dotnet-reactor/tools/string-decrypt.ts src/plugins/dotnet-reactor/tools/dynamic-methods.ts src/plugins/dotnet-reactor/tools/resource-export.ts tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts tests/unit/tool-readiness.test.ts docs/tool-catalog.html"
"dynamic","src/plugins/dynamic","runtime-readiness-policy","0.87","修复 dynamic tool-name 漂移并加回归测试：`runtime.debug.command` 对 canonical `dynamic.memory.dump` 与 legacy `dynamic.memory_dump` 都应解析到 `executeDynamicMemoryDump`、都要求 `sample_id`，`dynamic.deep_plan` / docs / generated catalog 使用 canonical `dynamic.auto.hook` 和 `dynamic.memory.dump`。","src/plugins/dynamic/tools/runtime-debug-session.ts; src/plugins/dynamic/tools/dynamic-deep-plan.ts; docs/usage.html; docs/plugins.html; docs/tool-catalog.html","tests/unit/runtime-debug-session.test.ts; tests/unit/dynamic-deep-plan.test.ts","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/runtime-debug-session.test.ts tests/unit/dynamic-deep-plan.test.ts tests/unit/dynamic-runtime-status.test.ts; npm run docs:tool-catalog; npx tsc --noEmit --pretty false; git diff --check -- src/plugins/dynamic/tools/runtime-debug-session.ts src/plugins/dynamic/tools/dynamic-deep-plan.ts tests/unit/runtime-debug-session.test.ts tests/unit/dynamic-deep-plan.test.ts docs/usage.html docs/plugins.html docs/tool-catalog.html"
"elf-macho","src/plugins/elf-macho","metadata-search-profile","0.88","补齐 Mach-O import/export 一阶能力：新增 `macho.imports.extract` 和 `macho.exports.extract`，从现有 Mach-O 结构解析结果提取 dylib/RPATH/import-like undefined/external symbols 与导出符号，持久化 `macho_imports` / `macho_exports` artifacts，并在 metadata / docs / 矩阵测试中声明能力边界为 passive static、first-slice aware。","src/plugins/elf-macho/index.ts; src/plugins/elf-macho/tools/macho-imports-extract.ts; src/plugins/elf-macho/tools/macho-exports-extract.ts; src/plugins/elf-macho/workers/elf_macho_worker.py; tests/unit/macho-imports-extract.test.ts; tests/unit/macho-exports-extract.test.ts; tests/unit/elf-macho-support.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/plugins.html; docs/tool-catalog.html","新增 `tests/unit/macho-imports-extract.test.ts`：schema、缺样本错误、mocked parse_macho 成功时提取 `LC_LOAD_DYLIB` / `LC_RPATH`、fat first-slice 标注。; 新增 `tests/unit/macho-exports-extract.test.ts`：schema、缺样本错误、GLOBAL/external/non-undefined 符号过滤、artifact type。; 更新 `tests/unit/elf-macho-support.test.ts`：确认新工具 definition 和 handler factory 导出。; 更新 `tests/unit/plugin-format-matrix.test.ts`：确认 `macho_imports` / `macho_exports` artifacts、imports/exports evidence、Mach-O formats 命中。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/macho-structure-analyze.test.ts tests/unit/macho-imports-extract.test.ts tests/unit/macho-exports-extract.test.ts tests/unit/elf-macho-support.test.ts tests/unit/plugin-format-matrix.test.ts; npx tsc --noEmit --pretty false; npm run docs:tool-catalog; git diff --check -- src/plugins/elf-macho/index.ts src/plugins/elf-macho/tools/macho-imports-extract.ts src/plugins/elf-macho/tools/macho-exports-extract.ts src/plugins/elf-macho/workers/elf_macho_worker.py tests/unit/macho-imports-extract.test.ts tests/unit/macho-exports-extract.test.ts tests/unit/elf-macho-support.test.ts tests/unit/plugin-format-matrix.test.ts docs/PLUGINS.md docs/plugins.html docs/tool-catalog.html"
"external-re-bridge","src/plugins/external-re-bridge","runtime-readiness-policy","0.88","让 `external_re.bridge.sync` 产出的 consensus artifact 可以被 `code.cross_decompiler.consensus` 直接消费：保留现有 `cross_decompiler_input_bundle` 外壳，同时新增/修正顶层 `backend`、`tool_name`、`artifact_type`、`artifact_id`、`confidence`，并把 optional function facts 的 `null` 改为省略或 schema 允许值。","src/plugins/external-re-bridge/index.ts","tests/unit/external-re-bridge.test.ts：断言 bridge 输出的 `data.consensus_bundle` 具有 CrossDecompilerArtifactSchema 兼容字段，且 optional 字段不输出 `null`。; tests/unit/cross-decompiler-consensus.test.ts：用一个 bridge 输出 artifact 加一个现有 fixture artifact 调用 `createCrossDecompilerConsensusHandler`，确认能形成 agreement/disagreement 且不启动 backend。","npm test -- --runTestsByPath tests/unit/external-re-bridge.test.ts tests/unit/cross-decompiler-consensus.test.ts; npm test -- --runTestsByPath tests/unit/mcp-tool-safety.test.ts; npm run typecheck"
"firmware","src/plugins/firmware","metadata-search-profile","0.87","修复 firmware 的 profile/search 可发现性：`U-Boot-uImage` / `FIT-Image` 能归一到 firmware tags；`firmware` surfaceRules 能识别当前 scan 输出信号；相关单元测试覆盖 file-type activation、workflow.search ranking 和 signal extraction。","packages/plugin-sdk/src/index.ts; src/plugins/firmware/index.ts; tests/unit/firmware-scan.test.ts; tests/unit/workflow-search.test.ts; tests/unit/core/tool-surface-manager.test.ts","在 `tests/unit/firmware-scan.test.ts` 增加 `normalizeFileTypeTags('U-Boot-uImage')` 和 `normalizeFileTypeTags('FIT-Image')` 应包含 `firmware`/`uimage`/`fit` 的断言，或放到现有格式矩阵测试中。; 在 `tests/unit/core/tool-surface-manager.test.ts` 增加 `activateByFileType('U-Boot-uImage')` 与 `activateByFileType('FIT-Image')` 能激活 firmware tier 1 插件的断言。; 在 `tests/unit/firmware-scan.test.ts` 增加 `firmwarePlugin.surfaceRules.extractSignals` 对 `{ signatures: [...] }`、`{ signature_count: 1 }` 或实际 `firmware.scan` data 形状的断言。; 在 `tests/unit/workflow-search.test.ts` 增加 file_type 为 `U-Boot-uImage`/`FIT-Image` 时 firmware plugin 排名前列并显示 matched_profile_fields 的断言。","npm test -- tests/unit/firmware-scan.test.ts tests/unit/core/tool-surface-manager.test.ts tests/unit/workflow-search.test.ts --runInBand; npm test -- tests/unit/plugin-format-matrix.test.ts --runInBand; npm run typecheck"
"frida","src/plugins/frida","metadata-search-profile","0.88","一个纯 metadata/search-profile 迭代：为 Frida 4 个工具声明 tool-level aspects、artifacts、evidence、workflowRecipes、runtimePolicy/workerBackend，并修正 `frida.script.generate` 的 stale recommended_next_tools；不改 worker 执行语义。","src/plugins/frida/tools/frida-runtime-instrument.ts; src/plugins/frida/tools/frida-script-inject.ts; src/plugins/frida/tools/frida-trace-capture.ts; src/plugins/frida/tools/frida-script-generate.ts; src/plugins/frida/index.ts","tests/unit/plugin-format-matrix.test.ts：断言 Frida tool metadata 出现在 format matrix、workflow recipe 和 artifact/evidence declarations 中。; tests/unit/tool-readiness.test.ts：断言 Frida workerBackend/runtimePolicy/readiness 元数据不启动后端且能暴露 required runtime contract。; tests/unit/workflow-search.test.ts：用 `.exe`、`apk`、`anti-debug`、`crypto`/`runtime trace` query 验证 Frida 推荐、activation_required 和 matched_profile_fields。; tests/unit/frida-runtime-instrument.test.ts、tests/unit/frida-script-inject.test.ts、tests/unit/frida-trace-capture.test.ts：补充 tool definition metadata 的轻量断言。","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/tool-readiness.test.ts tests/unit/workflow-search.test.ts tests/unit/frida-runtime-instrument.test.ts tests/unit/frida-script-inject.test.ts tests/unit/frida-trace-capture.test.ts; npm run typecheck; npm run lint"
"ghidra","src/plugins/ghidra","metadata-search-profile","0.88","最推荐先做一个 metadata-only 小迭代：为 `ghidra.analyze` 增加准确的 `workflowRecipes`、补充 search/profile tags，并同步修正 Java 21+ 与 project/log env metadata；不改变 Ghidra 执行路径。","src/plugins/ghidra/tools/ghidra-analyze.ts; src/plugins/ghidra/index.ts; tests/unit/ghidra-analyze.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/ghidra-analyze.test.ts` 断言 `ghidraAnalyzeToolDefinition.workflowRecipes` 存在，包含 `workflow.reconstruct`、`code.function.decompile`、`code.function.cfg`、`code.xrefs.analyze`，且 safety 包含 `passive`/`no_live_sample_by_default`。; 在 `tests/unit/workflow-search.test.ts` 加一个 Ghidra-style plugin/tool 推荐用例，验证 `query: ""decompile cfg xrefs""`、`goal: ""reverse""`、`depth: ""deep""` 时 recipe 和 capability tags 贡献 `workflow_score`/`goal_score`/`query_score`。; 如修正 env/systemDeps，补一个轻量断言确保 Java 描述为 21+，`GHIDRA_PROJECT_ROOT` 和 `GHIDRA_LOG_ROOT` 在 config 或 systemDeps extraEnv 中一致出现。","npm test -- --runTestsByPath tests/unit/ghidra-analyze.test.ts tests/unit/workflow-search.test.ts; npm test -- --runTestsByPath tests/unit/ghidra-config.test.ts; npm run typecheck"
"go-analysis","src/plugins/go-analysis","metadata-search-profile","0.88","先做“Go analysis discovery contract”小迭代：为 3 个 tool definition 添加 artifact/evidence/workflowRecipes/细粒度 aspects，并把 GoReSym systemDeps 的 Docker install route/profile 显式化；不改变 handler 执行行为。","src/plugins/go-analysis/index.ts; src/plugins/go-analysis/tools/go-binary-analyze.ts; src/plugins/go-analysis/tools/go-symbols-recover.ts; src/plugins/go-analysis/tools/go-types-list.ts; tests/unit/workflow-search.test.ts; tests/unit/tool-readiness.test.ts","新增或扩展 `workflow.search` 用例：`query='golang build id type recovery'` 或 `finding='go'` 时 go-analysis 排名靠前，且 activation 仍不启动后端。; 新增 `tool.readiness`/metadata 用例：Go 工具暴露 artifact declarations、evidence declarations、workflow recipe id 和 passive/static aspects。; 可选扩展 backend install contract：断言 go-analysis 的 `goresym` systemDep 有显式 `dockerInstallRoute` 和 profile。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/workflow-search.test.ts tests/unit/tool-readiness.test.ts tests/unit/backend-install-contract.test.ts; npx tsc --noEmit --pretty false; node scripts/generate-docker.mjs --dry-run --include=go-analysis"
"graphviz","src/plugins/graphviz","metadata-search-profile","0.86","给 `graphviz.render` 增加最小 tool-level discovery metadata：narrow aspects、artifact declarations、evidence declaration、`graphviz.render-export` workflow recipe，并补测试确认 `tool.help` / profile matrix 可见这些 metadata；不改变渲染行为。","src/plugins/graphviz/tools/graphviz-render.ts; tests/unit/tool-help.test.ts; tests/unit/plugin-format-matrix.test.ts","在 `tests/unit/tool-help.test.ts` 增加 `graphviz.render` 的 `artifact_declarations`、`evidence_declarations`、`workflow_recipes` 暴露断言。; 在 `tests/unit/plugin-format-matrix.test.ts` 或相邻 matrix 测试中增加 Graphviz recipe/artifact 被 `workflow.search` profile scoring 使用的断言。","npm test -- --runTestsByPath tests/unit/tool-help.test.ts tests/unit/plugin-format-matrix.test.ts; npm run build"
"gtirb","src/plugins/gtirb","runtime-readiness-policy","0.88","最推荐先做“GTIRB 只读 IR 摘要契约 v1”：不接真实 raw binary generation，只把 `gtirb.ir.generate` 的 metadata、builtin fixture 和测试扩展为稳定的 GTIRB summary schema，并修正文案说明 external mode 需要 backend-worker wrapper，而不是仅有 `GTIRB_PYTHON` 解释器。","src/plugins/gtirb/index.ts; tests/unit/gtirb-worker.test.ts; tests/unit/frontier-worker-plugins.test.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/backend-install-contract.test.ts","在 `tests/unit/gtirb-worker.test.ts` 断言 `schema_version`、`modules`、`sections`、`byte_intervals`、`cfg_edges`、`symbols`、`aux_data_tables`、`read_only`、`rewrite_allowed=false`。; 在 `tests/unit/frontier-worker-plugins.test.ts` 保持通用 Worker contract 覆盖，并确认 GTIRB fixture key 不再只依赖 `cfg_blocks`。; 在 `tests/unit/plugin-format-matrix.test.ts` 更新 GTIRB evidence/capability/workflow recipe 期望，覆盖 `cfg`、`relocations`、`ir-schema` 或 rewrite boundary artifact。; 在 backend install/readiness 相关测试中确认 optional/profile-gated metadata 仍有效，并明确 external wrapper 缺失时报告 backend missing，不启动 GTIRB。","npm test -- --runTestsByPath tests/unit/gtirb-worker.test.ts tests/unit/frontier-worker-plugins.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- --runTestsByPath tests/unit/backend-install-contract.test.ts tests/unit/docker-generator-backends.test.ts; node scripts/generate-docker.mjs --dry-run --include=gtirb --backend-profile=optional; npm run lint"
"host-correlation","src/plugins/host-correlation","metadata-search-profile","0.88","先做“metadata + workflow search 可发现性 + cache correctness”小迭代：为 `host.correlate` 添加 workflow recipe、补充/修正 aspects 与 surfaceRules、声明本地 Python workerBackend/passive policy、修正 `pefile` dependency 与缓存键覆盖项，并用测试固定这些行为。","src/plugins/host-correlation/index.ts; src/plugins/host-correlation/tools/host-correlate.ts; tests/unit/host-correlation.test.ts; tests/unit/plugin-format-matrix.test.ts","新增 `tests/unit/host-correlation.test.ts`：注册插件后断言 `host.correlate` 的 workflow recipe、workerBackend policy、artifact/evidence metadata、systemDeps 与 cache key 参数覆盖。; 更新 `tests/unit/plugin-format-matrix.test.ts`：把 `host-correlation.offline-host-correlation` 纳入 workflow recipe expectation，确认 `workflow`/`correlation-graph`/`timeline` 等 evidence tags 被索引。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/host-correlation.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/workflow-search.test.ts; npx tsc --noEmit --pretty false; npm run docs:tool-catalog"
"ios-runtime","src/plugins/ios-runtime","metadata-search-profile","0.88","一次 metadata-only 的 iOS runtime 搜索与规划深化：扩充 `src/plugins/ios-runtime/index.ts` 中的 formats/surfaceRules/capabilities/evidence/recommendedStaticTools/staticCorrelation/nextActions，使 `workflow.search file_type=plist|mach-o-fat|framework query='iOS entitlement Frida hook plan'` 更稳定命中 `ios.runtime.plan`，并在 plan 输出中更明确提示 `apple.security.profile` 和 provisioning/entitlement 前置。","src/plugins/ios-runtime/index.ts; tests/unit/ios-runtime-readiness.test.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/workflow-search.test.ts","在 `tests/unit/ios-runtime-readiness.test.ts` 增加静态证据含 `Info.plist`、URL scheme、`get-task-allow`、`SecItem`/`NSURLSession` 时的 recommended_next_tools、static_correlation、safety 断言。; 在 `tests/unit/plugin-format-matrix.test.ts` 扩充 ios-runtime formats、capabilities、evidence 断言，覆盖 `plist`、`framework`、`mach-o-fat` 等 tags。; 在 `tests/unit/workflow-search.test.ts` 增加搜索排序/命中测试，验证 `.plist`/`.ipa` + `goal: dynamic` + iOS entitlement/Frida 查询会推荐 `ios-runtime` 或 `ios.runtime.plan`。","npm test -- tests/unit/ios-runtime-readiness.test.ts --runInBand; npm test -- tests/unit/plugin-format-matrix.test.ts tests/unit/runtime-session-templates.test.ts --runInBand; npm test -- tests/unit/workflow-search.test.ts --runInBand; npm run typecheck"
"javascript-deobfuscation","src/plugins/javascript-deobfuscation","general-capability-depth","0.9","实现“输入格式诚实画像”小迭代：`javascript.obfuscation.profile` 在不执行、不联网、不调用外部工具的前提下，输出 `input_kind`、HTML script/source map 摘要、binary/V8-cache unsupported warning，并收紧 metadata 中容易误导的格式/能力描述。","src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts; src/plugins/javascript-deobfuscation/index.ts; tests/unit/javascript-obfuscation-profile.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","在 `tests/unit/javascript-obfuscation-profile.test.ts` 增加 HTML `<script>`、source map JSON、binary-like V8 cache/unknown input、TypeScript-like source 的 passive classification 用例。; 更新现有 JSVMP/benign 用例，断言新增 `input_kind` 不影响既有 `jsvmp_assessment`、`policy`、`suite_pipeline`。; 如 metadata 标签调整，更新 `tests/unit/plugin-format-matrix.test.ts` 中 JavaScript 插件的 formats/capabilities/workflow recipe 断言。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/javascript-obfuscation-profile.test.ts tests/unit/plugin-format-matrix.test.ts; npm test -- --runInBand --forceExit --runTestsByPath tests/unit/workflow-search.test.ts tests/unit/tools-discover.test.ts; npx tsc --noEmit --pretty false; npm run docs:tool-catalog; git diff --check -- src/plugins/javascript-deobfuscation/index.ts src/plugins/javascript-deobfuscation/tools/javascript-obfuscation-profile.ts tests/unit/javascript-obfuscation-profile.test.ts tests/unit/plugin-format-matrix.test.ts docs/PLUGINS.md docs/tool-catalog.html"
"jsimplifier","src/plugins/jsimplifier","metadata-search-profile","0.87","最小首轮建议：把 `jsimplifier.pipeline.run` 的结果扩展为结构化静态 pass 报告，增加 `recommended_passes`、`pass_summary`、`readability_metrics`、`safety_gates`，并补齐 capabilities/evidence/workflow recipe，使 workflow.search 能用 “AST simplification / constant folding / control-flow cleanup / readability” 查询命中。第一版只基于传入 `profile`、`passes` 和固定安全 fixture，不读取或执行样本。","src/plugins/jsimplifier/index.ts; src/plugins/jsimplifier/workers/jsimplifier-worker.js; tests/unit/jsimplifier-worker.test.ts; tests/unit/frontier-worker-plugins.test.ts; tests/unit/plugin-format-matrix.test.ts; docs/PLUGINS.md; docs/tool-catalog.html","在 `tests/unit/jsimplifier-worker.test.ts` 断言 `profile.risk_tags=['string-array','control-flow-flattening']` 时返回 `recommended_passes`、`pass_summary`、`readability_metrics` 和 `safety_gates`。; 在 `tests/unit/frontier-worker-plugins.test.ts` 保留通用 `pass_timeline` 合约，同时允许/断言新增 JSIMPLIFIER 字段。; 在 `tests/unit/plugin-format-matrix.test.ts` 更新 capabilities、artifact/evidence 和 workflow recipe 断言。; 如更新 docs/tool catalog，运行生成命令并只接受由 metadata 派生的文档变更。","npm test -- --runInBand --forceExit --runTestsByPath tests/unit/jsimplifier-worker.test.ts tests/unit/frontier-worker-plugins.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/backend-plan-plugins.test.ts; npm test -- --runInBand --forceExit --runTestsByPath tests/unit/javascript-obfuscation-profile.test.ts tests/unit/workflow-search.test.ts tests/unit/tools-discover.test.ts; node scripts/generate-docker.mjs --dry-run --include=jsimplifier; npm run docs:tool-catalog; npx tsc --noEmit --pretty false; git diff --check -- src/plugins/jsimplifier/index.ts src/plugins/jsimplifier/workers/jsimplifier-worker.js tests/unit/jsimplifier-worker.test.ts tests/unit/frontier-worker-plugins.test.ts tests/unit/plugin-format-matrix.test.ts docs/PLUGINS.md docs/tool-catalog.html"
"jsir-cascade","src/plugins/jsir-cascade","functional-worker-depth","0.88","实现“输入感知但仍完全静态”的 `jsir-cascade` external worker v1：只读本地 JS/HTML/source-map 输入，受大小和超时限制，输出 digest、lexical metrics、dispatcher_model、handler_candidates、ir_nodes、warnings、static_only；不 eval、不启动浏览器、不访问网络、不写样本。builtin safe mode 保持 fixture 合约不变。","src/plugins/jsir-cascade/workers/jsir-cascade-worker.js; tests/unit/jsir-cascade-worker.test.ts","在 `tests/unit/jsir-cascade-worker.test.ts` 增加 external wrapper 用例，设置 `JSIR_WORKER_PATH` 指向 `src/plugins/jsir-cascade/workers/jsir-cascade-worker.js`，用受控 fixture 验证 digest、dispatcher_model、handler_candidates 和 `static_only`。; 保留现有 builtin contract 断言，确保 `handler_candidates` 兼容 `tests/unit/frontier-worker-plugins.test.ts` 的通用 worker 合约。; 补一个缺失输入或超限输入的错误/警告用例，证明 worker 不会尝试执行或隐式降级为不可信成功。","npm test -- --runTestsByPath tests/unit/jsir-cascade-worker.test.ts tests/unit/frontier-worker-plugins.test.ts; npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts tests/unit/docker-generator-backends.test.ts; node scripts/generate-docker.mjs --dry-run --include=jsir-cascade --backend-profile=optional"
"jsvmp-analysis","src/plugins/jsvmp-analysis","functional-worker-depth","0.87","实现一个只读、bounded、fixture-backed 的 JSVMP static scanner worker：external worker 读取本地 JS 文件，输出 bytecode array candidates、dispatcher model、handler map candidates、confidence breakdown、input budget/policy；builtin fixture 继续安全可用。","src/plugins/jsvmp-analysis/workers/jsvmp-worker.js; src/plugins/jsvmp-analysis/index.ts; tests/unit/jsvmp-bytecode-recover.test.ts; tests/unit/frontier-worker-plugins.test.ts","新增 `tests/unit/jsvmp-bytecode-recover.test.ts`：用 JSVMP-like fixture 验证 external worker 返回 bytecode/dispatcher/handler candidates，用 benign JS 验证低置信度和无强推荐。; 更新 `tests/unit/frontier-worker-plugins.test.ts`：确保 `jsvmp.bytecode.recover` 仍满足 backend-worker.v1、builtin fixture、external wrapper、no_network/no_mutation/live_execution=false。; 视 metadata 改动更新 `tests/unit/plugin-format-matrix.test.ts`：断言 JSVMP artifacts/evidence/workflow recipe 与实际 worker 输出一致。","node src/plugins/jsvmp-analysis/workers/jsvmp-worker.js --self-test; npm test -- tests/unit/jsvmp-bytecode-recover.test.ts --runInBand; npm test -- tests/unit/frontier-worker-plugins.test.ts --runInBand; npm test -- tests/unit/plugin-format-matrix.test.ts --runInBand; npm test -- tests/unit/javascript-obfuscation-profile.test.ts --runInBand"
"jvm","src/plugins/jvm","general-capability-depth","0.88","优先做“现实 JAR 可用”的小迭代：在 `jvm.structure.analyze` 中支持 bounded deflate 读取常见 JVM metadata entries（manifest、Maven POM/properties、Kotlin module），并保持不启动 Java、不执行 bytecode、不写出解压内容。","src/plugins/jvm/tools/jvm-structure-analyze.ts","tests/unit/jvm-structure-analyze.test.ts：新增 deflated manifest、POM/properties、Kotlin module、压缩大小上限/损坏 entry 用例。; tests/unit/plugin-format-matrix.test.ts：补一条真实压缩 JAR inventory 断言，确保 format matrix 覆盖能力不只依赖 stored ZIP fixture。","npm test -- --runTestsByPath tests/unit/jvm-structure-analyze.test.ts; npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts; npx eslint src/plugins/jvm/**/*.ts tests/unit/jvm-structure-analyze.test.ts --quiet --no-error-on-unmatched-pattern"
"kb-collaboration","src/plugins/kb-collaboration","functional-worker-depth","0.88","修复并深化 `kb.function.match` 的默认 KB 复用路径：当未提供 `match_against` 时，从 `function_kb` 加载参考知识进行匹配，返回来源、置信度、match reasons 和低置信过滤结果；保留显式样本匹配现有行为。","src/plugins/kb-collaboration/tools/kb-function-match.ts","tests/unit/kb-function-match.test.ts; tests/integration/kb-integration.test.ts","npm test -- kb-function-match.test.ts; npm test -- kb-integration.test.ts; npm run typecheck"
"lief","src/plugins/lief","metadata-search-profile","0.88","最小优先迭代：把 `lief.binary.inspect` 做成“更诚实、更可检索”的 read-only inventory 契约。具体包括：补 `resources/overlay/relocations/delayed-imports/format-confidence/parser-disagreement/mutation_allowed=false` 的 artifact/evidence/fixtureData；把 `LIEF_PYTHON` setup 文案改为需要 JSON worker wrapper 或明确 builtin-only；统一 LIEF 版本文案到 pinned wheel；增强 surface/search 触发词。","src/plugins/lief/index.ts; tests/unit/frontier-worker-plugins.test.ts; tests/unit/plugin-format-matrix.test.ts; tests/unit/backend-install-contract.test.ts; docs/PLUGINS.md","在 `tests/unit/frontier-worker-plugins.test.ts` 中为 `lief.binary.inspect` 断言 fixture 包含 `parsed_format`、`mutation_allowed: false`、`overlay_present/resource_count/relocation_count/signature_present/format_confidence` 等关键字段。; 在 `tests/unit/plugin-format-matrix.test.ts` 中扩展 LIEF evidence/capabilities 期望，覆盖 `resources`、`overlay`、`relocations`、`parser-disagreement` 或等价命名。; 在 `tests/unit/backend-install-contract.test.ts` 或 readiness 相关测试中断言 LIEF setup action 不把 raw `python3` 误描述成可直接 external worker，或者明确 external 需要 JSON stdin/stdout wrapper。; 如同步 docs，则更新 `docs/PLUGINS.md` 中 LIEF worker/backend 描述，强调 read-only、no mutation、external wrapper/readiness gate。","npm test -- --runTestsByPath tests/unit/frontier-worker-plugins.test.ts tests/unit/plugin-format-matrix.test.ts tests/unit/backend-install-contract.test.ts; npm run typecheck; npm run lint"
"linux-binary","src/plugins/linux-binary","functional-worker-depth","0.9","为 `linux.binary.inventory` 增加无外部依赖的 ELF loader/security profile：输出 entrypoint、interpreter、needed libraries、rpath/runpath、NX stack candidate、RELRO candidate、bind-now candidate、canary symbol candidate，并用 conservative confidence/`*_candidate` 命名避免过度承诺。","src/plugins/linux-binary/tools/linux-binary-inventory.ts; src/plugins/linux-binary/index.ts","tests/unit/plugin-format-matrix.test.ts：扩展现有 “builds Linux binary inventory without execute/load/core replay/module load semantics” fixture，覆盖 PT_INTERP、DT_NEEDED、PT_GNU_STACK、PT_GNU_RELRO、`__stack_chk_fail`。; 可选新增 `tests/unit/linux-binary-inventory.test.ts`：把 ELF header/program/dynamic parsing helper 的边界、截断输入、big-endian/little-endian、32/64-bit 分支拆成更聚焦单测。","npm test -- --runTestsByPath tests/unit/plugin-format-matrix.test.ts; npm test -- --runTestsByPath tests/unit/workflow-search.test.ts tests/unit/sample-profile-get.test.ts; npm run typecheck"
"linux-package","src/plugins/linux-package","metadata-search-profile","0.88","给 `linux.package.inventory` 增加一个被动供应链 / 固件包 handoff 的 `workflowRecipes`，并对齐 tool evidence metadata 与推荐下一步工具；不改变解析行为。","src/plugins/linux-package/tools/linux-package-inventory.ts; tests/unit/plugin-format-matrix.test.ts","在 `tests/unit/plugin-format-matrix.test.ts` 中断言 `linux.package.inventory` 含 workflow recipe，且 recipe 的 `nextTools` 包含 `sbom.provenance.graph`、`linux.binary.inventory`、`firmware.workflow.plan`。; 可选更新 `tests/unit/linux-package-inventory.test.ts`，断言 `recommended_next_tools` 包含 `sbom.provenance.graph` 和嵌套 ELF 时的 `linux.binary.inventory`。","npm test -- --runInBand tests/unit/linux-package-inventory.test.ts tests/unit/plugin-format-matrix.test.ts; npm run typecheck"
